source,clickbait,methods,gpt_zero_shot_clickbait,gpt_few_shot_clickbait,gemini_zero_shot_clickbait,gemini_few_shot_clickbait,gpt_zero_shot_source,gpt_few_shot_source,gemini_zero_shot_source,gemini_few_shot_source
Luke Littler silences boo boys to win Premier League darts final in Liverpool,The Ultimate Underdog Story: How Luke Littler Proved the Haters Wrong and Won the Premier League Darts Final in Liverpool - But What Really Happened That Night?,"[1, 0, 1, 0, 0, 1, 0, 0, 1, 0]","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Ambiguous References', 'Unfinished Narratives', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Unfinished Narratives'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Unfinished Narratives'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Anglo American rejects BHPs 31.1bn takeover proposal  business live,You Won't Believe the Shocking 31.1bn Takeover Proposal That's Left the Business World Reeling - The Future of Anglo American Hangs in the Balance,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers', 'Curiosity Gap'])","('Yes', ['Exaggeration', 'Sensationalism', 'Lists/Superlatives', 'Emotional Triggers'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Unfinished Narratives'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
"Week in wildlife  in pictures: a lazy leopard, a moonwalking elephant and hitchhiking ducklings",You Have to See These Jaw-Dropping Wildlife Photos - The Most Epic Animal Encounters of the Week Will Leave You Speechless,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0]","('Yes', ['Exaggeration', 'Emotional Triggers', 'Lists/Superlatives', 'Sensationalism'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Lists/Superlatives'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Lists/Superlatives'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Lists/Superlatives'])","('Yes', ['Curiosity Gap', 'Lists/Superlatives', 'Unexpected Associations'])","('No', ['None'])","('Yes', ['Lists/Superlatives', 'Sensationalism', 'Unexpected Associations'])","('Yes', ['Lists/Superlatives', 'Unexpected Associations'])"
Mad fer it! The young musicians flying the flag for Britpop,The Most Mind-Blowing Britpop Revival You've Ever Seen - These Young Musicians Are Taking the Music Scene by Storm,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","('Yes', ['Exaggeration', 'Lists/Superlatives', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Exaggeration', 'Sensationalism', 'Lists/Superlatives'])","('Yes', ['Exaggeration', 'Lists/Superlatives', 'Emotional Triggers'])","('Yes', ['Exaggeration', 'Lists/Superlatives'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Direct Appeals'])","('Yes', ['Emotional Triggers', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Exaggeration'])"
Two men charged in connection with deaths of five people trying to cross Channel,The Top 5 Most Shocking Channel Crossing Tragedies - You Won't Believe What Happened Next and the 2 Men Who Are Now Facing the Consequences,"[0, 0, 0, 0, 1, 1, 1, 0, 1, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Lists/Superlatives', 'Curiosity Gap', 'Unfinished Narratives'])","('Yes', ['Lists/Superlatives', 'Sensationalism', 'Curiosity Gap'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
"Middle East crisis live: Egyptian delegation due in Israel seeking to kickstart Gaza ceasefire talks, say reports",Breaking: The Middle East Crisis Takes a Dramatic Turn - Will This Surprise Move Bring Peace to Gaza? Stay Tuned for the Latest Updates,"[0, 0, 0, 1, 0, 0, 1, 1, 0, 0]","('Yes', ['Sensationalism', 'Provocative Questions', 'Curiosity Gap'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Provocative Questions', 'Unfinished Narratives'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Unfinished Narratives', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Provocative Questions', 'Unfinished Narratives'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Weather tracker: heavy rainfall causes flooding and death in east Africa,The Heartbreaking Truth About the Devastating East Africa Floods - How You Can Help the Victims of This Unimaginable Disaster,"[0, 0, 1, 0, 0, 1, 1, 0, 0, 0]","('Yes', ['Emotional Triggers', 'Sensationalism', 'Direct Appeals'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Direct Appeals'])","('Yes', ['Emotional Triggers', 'Exaggeration', 'Direct Appeals', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Direct Appeals'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Manchester City turn up heat on title rivals before big weekend: football news  live,The Most Explosive Weekend in Football History - Manchester City's Bold Move Will Leave You on the Edge of Your Seat,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers', 'Lists/Superlatives'])","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Lists/Superlatives'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Lists/Superlatives'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('Yes', ['Exaggeration', 'Emotional Triggers'])"
"Man, 20, charged with conducting hostile activity in UK to benefit Russia",You Need to Know About the 20-Year-Old Man Who's Been Charged with a Crime That Will Shock the Nation,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Donald Trump hush-money trial: National Enquirers David Pecker to face further cross-examination  live,The Donald Trump Trial Takes a Stunning Turn - What Happens Next Will Leave You Breathless and Wondering About the Future of American Politics,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers', 'Curiosity Gap'])","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Unfinished Narratives', 'Curiosity Gap', 'Exaggeration'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Unfinished Narratives', 'Exaggeration'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Four students on why theyre protesting against war in Gaza: Injustice should not be accepted,Their Stories Will Break Your Heart: 4 Students Share Why They're Fighting Against Injustice in Gaza - Will You Join the Movement?,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]","('Yes', ['Emotional Triggers', 'Provocative Questions', 'Lists/Superlatives'])","('Yes', ['Emotional Triggers', 'Lists/Superlatives', 'Direct Appeals'])","('Yes', ['Emotional Triggers', 'Lists/Superlatives', 'Direct Appeals'])","('Yes', ['Emotional Triggers', 'Lists/Superlatives', 'Direct Appeals'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('Yes', ['Emotional Triggers', 'Direct Appeals'])"
Trump insiders on the stand at the hush-money trial,What secrets will Trump insiders reveal on the stand at the hush-money trial - and will it be the final nail in his coffin?,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]","('Yes', ['Provocative Questions', 'Curiosity Gap', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Provocative Questions', 'Unfinished Narratives', 'Sensationalism'])","('Yes', ['Provocative Questions', 'Unfinished Narratives', 'Emotional Triggers'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Ambiguous References'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Protest leader sorry for 'kill Zionists' comments,You won't believe the shocking comments that forced a protest leader to apologize - and it's one of the top 5 most outrageous apologies of the year that will leave you speechless and wondering what's next,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Lists/Superlatives'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Lists/Superlatives'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Lists/Superlatives', 'Unfinished Narratives'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Lists/Superlatives', 'Unfinished Narratives'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('Yes', ['Emotional Triggers', 'Sensationalism'])"
How the UK Is Punishing Its Asylum Seekers,The shocking truth about what 'they' are doing to asylum seekers in the UK - and it's not what you think,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","('Yes', ['Sensationalism', 'Curiosity Gap', 'Emotional Triggers', 'Ambiguous References'])","('Yes', ['Sensationalism', 'Curiosity Gap', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Ambiguous References'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Ambiguous References'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Provocative Questions', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Sensationalism'])"
The pro-Trump Arizona fake electors scheme: whats in the charging document?,The bombshell charging document that will leave Trump supporters stunned - but what does it really mean for the future of American democracy?,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Curiosity Gap', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Curiosity Gap', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Ambiguous References', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Ambiguous References', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Ambiguous References'])","('Yes', ['Curiosity Gap', 'Provocative Questions'])"
"Dancing, Daleks and Saharan Dust: Photos of the week",The 10 most breathtaking photos of the week - but can you guess what's the most shocking image that will leave you questioning everything?,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]","('Yes', ['Curiosity Gap', 'Lists/Superlatives', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Lists/Superlatives', 'Provocative Questions'])","('Yes', ['Lists/Superlatives', 'Curiosity Gap', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Lists/Superlatives', 'Curiosity Gap', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Unexpected Associations'])","('No', ['None'])","('No', ['None'])","('Yes', ['Lists/Superlatives', 'Unexpected Associations'])"
How much did #MeToo change for women? Lets ask Harvey Weinstein today  or Donald Trump | Marina Hyde,What do Harvey Weinstein and Donald Trump really think about #MeToo - and will their answers surprise you?,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","('Yes', ['Provocative Questions', 'Curiosity Gap', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Provocative Questions', 'Emotional Triggers', 'Curiosity Gap'])","('Yes', ['Curiosity Gap', 'Provocative Questions', 'Unexpected Associations'])","('Yes', ['Curiosity Gap', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Sensationalism', 'Provocative Questions', 'Unexpected Associations'])","('Yes', ['Provocative Questions', 'Unexpected Associations'])"
People think I hate pop: super-producer AG Cook on working with Beyonc and honouring his friend Sophie,Does super-producer AG Cook really hate pop music - and what's the real story behind his work with Beyonc?,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","('Yes', ['Curiosity Gap', 'Provocative Questions', 'Ambiguous References'])","('Yes', ['Provocative Questions', 'Ambiguous References'])","('Yes', ['Provocative Questions', 'Curiosity Gap', 'Unexpected Associations'])","('Yes', ['Provocative Questions', 'Curiosity Gap', 'Ambiguous References'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Ambiguous References'])","('No', ['None'])","('No', ['None'])","('Yes', ['Curiosity Gap', 'Unexpected Associations'])"
"Pet Shop Boys: Nonetheless review  a great, fan-pleasing album",Is the new Pet Shop Boys album the best thing you'll hear all year - or a disappointing letdown that will leave fans wondering what happened?,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1]","('Yes', ['Provocative Questions', 'Curiosity Gap', 'Emotional Triggers'])","('Yes', ['Provocative Questions', 'Curiosity Gap', 'Emotional Triggers'])","('Yes', ['Provocative Questions', 'Emotional Triggers', 'Exaggeration'])","('Yes', ['Provocative Questions', 'Emotional Triggers'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Justice: Hyperdrama review  an uncertain return to the dancefloor,Get ready to have your mind blown by the most unexpected album of the year - but will Justice's Hyperdrama be the soundtrack to your wildest dreams or a confusing mess that will leave you questioning everything?,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 1]","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Provocative Questions', 'Lists/Superlatives'])","('Yes', ['Exaggeration', 'Sensationalism', 'Ambiguous References'])","('Yes', ['Exaggeration', 'Sensationalism', 'Ambiguous References'])","('No', ['None'])","('Yes', ['Sensationalism', 'Ambiguous References'])"
Why Wont the U.S. Take On Big Tech?,The jaw-dropping reason why the U.S. is secretly in bed with Big Tech - and it's the most shocking conspiracy of the century that will change everything you thought you knew about the world,"[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers', 'Curiosity Gap'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Curiosity Gap'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Ambiguous References'])","('Yes', ['Exaggeration', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Provocative Questions', 'Curiosity Gap'])","('Yes', ['Provocative Questions', 'Curiosity Gap'])","('Yes', ['Provocative Questions', 'Curiosity Gap'])","('Yes', ['Provocative Questions', 'Curiosity Gap'])"
Can Zendaya make the leap from tween idol to Hollywood heavyweight?,You Won't Believe What's Next for Zendaya: Can She Really Make the Leap?,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 1]","('Yes', ['Curiosity Gap', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Direct Appeals', 'Provocative Questions', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Provocative Questions', 'Curiosity Gap'])","('Yes', ['Provocative Questions', 'Curiosity Gap'])","('Yes', ['Provocative Questions'])","('Yes', ['Provocative Questions'])"
Eddie Howe reveals 100m Bruno Guimares release clause ends in June,The Secret's Out: What Eddie Howe Just Revealed About Bruno Guimares Will Shock You,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Pep Guardiola says Phil Fodens third kid can help him reach full potential,The #1 Thing That Will Take Phil Foden to the Next Level: You Won't Believe What Pep Guardiola Just Said,"[1, 1, 0, 1, 1, 0, 0, 0, 0, 1]","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Lists/Superlatives', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Lists/Superlatives'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Ambiguous References'])","('No', ['None'])","('No', ['None'])","('Yes', ['Curiosity Gap', 'Unexpected Associations'])"
D-day veterans and an Indian election: photos of the day  Friday,What Do These Powerful Photos Reveal About Our World?,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","('Yes', ['Provocative Questions', 'Curiosity Gap'])","('Yes', ['Curiosity Gap', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Provocative Questions', 'Ambiguous References'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
